1000
226,5091,5393,663,631,577
663,7664,5610,226,120,631,577,911
120,1711,9441,663,31,577,911,164
31,9991,9181,120,904,911,164,262
904,4538,9259,31,87,164,262,713
87,3139,1530,904,323,262,713,62
323,5087,6585,87,398,713,62,988
398,2366,7472,323,29,62,988,783
29,759,4765,398,181,988,783,733
181,8711,6450,29,203,783,733,310
203,6218,4775,181,243,733,310,271
243,6348,5560,203,523,310,271,442
523,7153,8713,243,890,271,442,499
890,1306,7600,523,207,442,499,991
207,1887,2019,890,396,499,991,659
396,7403,9365,207,602,991,659,350
602,9483,6464,396,73,659,350,771
73,6649,2981,602,971,350,771,641
971,7325,3082,73,742,771,641,152
742,2438,2955,971,953,641,152,58
953,4835,4828,742,505,152,58,221
505,1492,9190,953,319,58,221,893
319,2056,645,505,706,221,893,743
706,4133,6769,319,661,893,743,211
661,7554,1766,706,791,743,211,611
791,6330,7187,661,811,211,611,354
811,8894,7918,791,712,611,354,167
712,8410,6030,811,707,354,167,366
707,5630,4873,712,721,167,366,496
721,8545,5922,707,691,366,496,369
691,79,8827,721,748,496,369,385
748,8857,4574,691,369,385
631,5163,9027,226,663,577,316,441
577,5183,9305,226,663,120,631,911,316,441,871
911,6926,9001,663,120,31,577,164,441,871,548
164,5805,2278,120,31,904,911,262,871,548,854
262,3724,7194,31,904,87,164,713,548,854,795
713,2386,1120,904,87,323,262,62,854,795,566
62,8185,9739,87,323,398,713,988,795,566,664
988,4011,467,323,398,29,62,783,566,664,873
783,5309,1551,398,29,181,988,733,664,873,315
733,3959,6646,29,181,203,783,310,873,315,367
310,4765,578,181,203,243,733,271,315,367,860
271,3156,8757,203,243,523,310,442,367,860,889
442,2537,8841,243,523,890,271,499,860,889,591
499,3376,4737,523,890,207,442,991,889,591,624
991,1200,3663,890,207,396,499,659,591,624,588
659,487,9228,207,396,602,991,350,624,588,692
350,3315,2419,396,602,73,659,771,588,692,622
771,7136,3606,602,73,971,350,641,692,622,463
641,3272,1935,73,971,742,771,152,622,463,888
152,7396,6560,971,742,953,641,58,463,888,777
58,2214,7260,742,953,505,152,221,888,777,131
221,348,4860,953,505,319,58,893,777,131,589
893,3134,650,505,319,706,221,743,131,589,136
743,4727,8293,319,706,661,893,211,589,136,764
211,703,4864,706,661,791,743,611,136,764,580
611,9009,450,661,791,811,211,354,764,580,939
354,4137,1038,791,811,712,611,167,580,939,672
167,3269,5736,811,712,707,354,366,939,672,465
366,9197,308,712,707,721,167,496,672,465,760
496,8910,3727,707,721,691,366,369,465,760,687
369,536,9216,721,691,748,496,385,760,687,595
385,2374,8709,691,748,369,687,595
316,7561,2331,631,577,441,40,182
441,7478,3516,631,577,911,316,871,40,182,82
871,6524,812,577,911,164,441,548,182,82,896
548,6007,5313,911,164,262,871,854,82,896,737
854,8122,8178,164,262,713,548,795,896,737,639
795,4790,1974,262,713,62,854,566,737,639,28
566,5895,9400,713,62,988,795,664,639,28,146
664,2591,8470,62,988,783,566,873,28,146,109
873,8657,1667,988,783,733,664,315,146,109,827
315,8538,8186,783,733,310,873,367,109,827,579
367,5763,1637,733,310,271,315,860,827,579,249
860,5899,2286,310,271,442,367,889,579,249,6
889,6947,4014,271,442,499,860,591,249,6,660
591,1038,7036,442,499,991,889,624,6,660,175
624,1284,5074,499,991,659,591,588,660,175,474
588,6825,9896,991,659,350,624,692,175,474,640
692,8387,8261,659,350,771,588,622,474,640,332
622,1938,9804,350,771,641,692,463,640,332,959
463,4520,3439,771,641,152,622,888,332,959,158
888,7631,4650,641,152,58,463,777,959,158,839
777,911,9734,152,58,221,888,131,158,839,295
131,216,3891,58,221,893,777,589,839,295,736
589,7370,6278,221,893,743,131,136,295,736,993
